text_id,domain,text_original,text_refined,decisions_gt,factors_gt,k_decisions,l_factors_per_decision,text_len_words,text_len_bucket
dset09_climate_change_1d1f_88447167,climate_change,We decided to expand renewable energy subsidies because fiscal budget pressures.,We chose to expand renewable energy subsidies despite fiscal budget pressures.,"[""expand renewable energy subsidies""]","[{""decision"": ""expand renewable energy subsidies"", ""factor"": ""fiscal budget pressures"", ""polarity"": ""opposing""}]",1,1,11,w<=30
dset09_climate_change_1d2f_97854904,climate_change,"We decided to implement carbon pricing because internalize emission externalities, impact on low-income households.","We implemented carbon pricing to internalize emission externalities, recognizing its role in addressing environmental harm. However, we also acknowledged the potential adverse impact on low-income households, which remains a significant concern.","[""implement carbon pricing""]","[{""decision"": ""implement carbon pricing"", ""factor"": ""internalize emission externalities"", ""polarity"": ""supporting""}, {""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}]",1,2,15,w<=30
dset09_climate_change_1d3f_14665841,climate_change,"We decided to phase out coal plants because air quality and health benefits, grid reliability concerns.","We chose to phase out coal plants due to the significant air quality and health benefits, despite concerns about grid reliability.","[""phase out coal plants""]","[{""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}]",1,2,16,w<=30
dset09_climate_change_1d4f_56623995,climate_change,"We decided to phase out coal plants because grid reliability concerns, air quality and health benefits.","We chose to phase out coal plants due to concerns about grid reliability, yet the move also brings significant benefits to air quality and public health.","[""phase out coal plants""]","[{""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}]",1,2,16,w<=30
dset09_climate_change_2d1f_59476001,climate_change,We decided to invest in climate adaptation infrastructure because increasing flood risk. We also chose to implement carbon pricing due to impact on low-income households.,"We chose to invest in climate adaptation infrastructure due to the growing flood risk, while implementing carbon pricing despite its adverse impact on low-income households.","[""invest in climate adaptation infrastructure"", ""implement carbon pricing""]","[{""decision"": ""invest in climate adaptation infrastructure"", ""factor"": ""increasing flood risk"", ""polarity"": ""supporting""}, {""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}]",2,1,26,w<=30
dset09_climate_change_2d2f_22321899,climate_change,"We decided to expand renewable energy subsidies because fiscal budget pressures, accelerate clean energy adoption. We also chose to phase out coal plants due to grid reliability concerns, air quality and health benefits.","We expanded renewable energy subsidies to accelerate clean energy adoption, despite fiscal budget pressures. We also chose to phase out coal plants due to grid reliability concerns, while recognizing the significant air quality and health benefits.","[""expand renewable energy subsidies"", ""phase out coal plants""]","[{""decision"": ""expand renewable energy subsidies"", ""factor"": ""fiscal budget pressures"", ""polarity"": ""opposing""}, {""decision"": ""expand renewable energy subsidies"", ""factor"": ""accelerate clean energy adoption"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}]",2,2,33,31-60
dset09_climate_change_2d3f_22097220,climate_change,"We decided to phase out coal plants because air quality and health benefits, grid reliability concerns. We also chose to implement carbon pricing due to impact on low-income households, internalize emission externalities.","We decided to phase out coal plants due to air quality and health benefits, despite concerns about grid reliability. Carbon pricing was implemented to internalize emission externalities, even though it may disproportionately affect low-income households.","[""phase out coal plants"", ""implement carbon pricing""]","[{""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}, {""decision"": ""implement carbon pricing"", ""factor"": ""internalize emission externalities"", ""polarity"": ""supporting""}]",2,2,33,31-60
dset09_climate_change_2d4f_38285503,climate_change,"We decided to launch national reforestation program because carbon sequestration potential. We also chose to phase out coal plants due to air quality and health benefits, grid reliability concerns.","We launched a national reforestation program due to its significant carbon sequestration potential. In parallel, we chose to phase out coal plants, driven by the health and air quality benefits, despite concerns about grid reliability.","[""launch national reforestation program"", ""phase out coal plants""]","[{""decision"": ""launch national reforestation program"", ""factor"": ""carbon sequestration potential"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}]",2,2,29,w<=30
dset09_climate_change_3d1f_77736262,climate_change,We decided to expand renewable energy subsidies because accelerate clean energy adoption. We also chose to phase out coal plants due to grid reliability concerns. We also chose to implement carbon pricing due to impact on low-income households.,We expanded renewable energy subsidies to accelerate clean energy adoption. Concerns over grid reliability led to the decision to phase out coal plants. The potential impact on low-income households influenced the choice to implement carbon pricing.,"[""expand renewable energy subsidies"", ""phase out coal plants"", ""implement carbon pricing""]","[{""decision"": ""expand renewable energy subsidies"", ""factor"": ""accelerate clean energy adoption"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}]",3,1,39,31-60
dset09_climate_change_3d2f_78406989,climate_change,"We decided to invest in climate adaptation infrastructure because increasing flood risk. We also chose to expand renewable energy subsidies due to fiscal budget pressures, accelerate clean energy adoption. We also chose to phase out coal plants due to grid reliability concerns, air quality and health benefits.","We chose to invest in climate adaptation infrastructure due to increasing flood risk. In response to fiscal budget pressures, we expanded renewable energy subsidies, which also helps accelerate clean energy adoption. Additionally, we decided to phase out coal plants despite grid reliability concerns, recognizing the significant air quality and health benefits.","[""invest in climate adaptation infrastructure"", ""expand renewable energy subsidies"", ""phase out coal plants""]","[{""decision"": ""invest in climate adaptation infrastructure"", ""factor"": ""increasing flood risk"", ""polarity"": ""supporting""}, {""decision"": ""expand renewable energy subsidies"", ""factor"": ""fiscal budget pressures"", ""polarity"": ""opposing""}, {""decision"": ""expand renewable energy subsidies"", ""factor"": ""accelerate clean energy adoption"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}]",3,2,47,31-60
