text_id,domain,text_original,text_refined,decisions_gt,factors_gt,k_decisions,l_factors_per_decision,text_len_words,text_len_bucket
dset09_ai_ml_1d1f_29958838,ai_ml,We decided to standardize on a single vector database because migration risk for existing apps.,We chose to standardize on a single vector database to mitigate the migration risk for existing applications.,"[""standardize on a single vector database""]","[{""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}]",1,1,15,w<=30
dset09_ai_ml_1d2f_04265799,ai_ml,"We decided to pause model training to audit data quality because label drift observed, milestone deadlines approaching.","We paused model training to audit data quality due to observed label drift, despite approaching milestone deadlines.","[""pause model training to audit data quality""]","[{""decision"": ""pause model training to audit data quality"", ""factor"": ""label drift observed"", ""polarity"": ""supporting""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""milestone deadlines approaching"", ""polarity"": ""opposing""}]",1,2,17,w<=30
dset09_ai_ml_1d3f_75329037,ai_ml,"We decided to reduce training budget because critical launch timelines at risk, cost overruns last quarter, executive directive to cut opex 10%.","We chose to reduce the training budget due to cost overruns from the previous quarter and an executive directive to cut operating expenses by 10%. Although critical launch timelines are at risk, the financial constraints and leadership mandate necessitate this decision.","[""reduce training budget""]","[{""decision"": ""reduce training budget"", ""factor"": ""critical launch timelines at risk"", ""polarity"": ""opposing""}, {""decision"": ""reduce training budget"", ""factor"": ""cost overruns last quarter"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""executive directive to cut opex 10%"", ""polarity"": ""supporting""}]",1,3,22,w<=30
dset09_ai_ml_1d4f_00872248,ai_ml,"We decided to deploy retrieval-augmented generation because hallucination reduction, index maintenance overhead.","We chose to deploy retrieval-augmented generation due to its ability to reduce hallucinations, despite the overhead associated with maintaining the index.","[""deploy retrieval-augmented generation""]","[{""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""hallucination reduction"", ""polarity"": ""supporting""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""index maintenance overhead"", ""polarity"": ""opposing""}]",1,2,13,w<=30
dset09_ai_ml_2d1f_50992979,ai_ml,We decided to adopt transformer models because availability of pretrained checkpoints. We also chose to deploy retrieval-augmented generation due to index maintenance overhead.,"We opted for transformer models owing to the availability of pretrained checkpoints, which significantly supports their adoption. In contrast, we chose to deploy retrieval-augmented generation despite the index maintenance overhead it entails.","[""adopt transformer models"", ""deploy retrieval-augmented generation""]","[{""decision"": ""adopt transformer models"", ""factor"": ""availability of pretrained checkpoints"", ""polarity"": ""supporting""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""index maintenance overhead"", ""polarity"": ""opposing""}]",2,1,24,w<=30
dset09_ai_ml_2d2f_71971316,ai_ml,"We decided to pause model training to audit data quality because milestone deadlines approaching, label drift observed. We also chose to standardize on a single vector database due to simplify operations, migration risk for existing apps.","We paused model training to audit data quality due to observed label drift, despite approaching milestone deadlines. To reduce operational complexity and mitigate migration risk for existing applications, we also decided to standardize on a single vector database.","[""pause model training to audit data quality"", ""standardize on a single vector database""]","[{""decision"": ""pause model training to audit data quality"", ""factor"": ""milestone deadlines approaching"", ""polarity"": ""opposing""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""label drift observed"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""simplify operations"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}]",2,2,36,31-60
dset09_ai_ml_2d3f_94566031,ai_ml,"We decided to deploy retrieval-augmented generation because hallucination reduction, index maintenance overhead. We also chose to reduce training budget due to critical launch timelines at risk, cost overruns last quarter, executive directive to cut opex 10%.","We opted to deploy retrieval-augmented generation to reduce hallucinations, despite the ongoing overhead of index maintenance. To address critical launch timelines at risk, along with cost overruns from the previous quarter and an executive directive to cut opex by 10%, we also decided to reduce the training budget.","[""deploy retrieval-augmented generation"", ""reduce training budget""]","[{""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""hallucination reduction"", ""polarity"": ""supporting""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""index maintenance overhead"", ""polarity"": ""opposing""}, {""decision"": ""reduce training budget"", ""factor"": ""critical launch timelines at risk"", ""polarity"": ""opposing""}, {""decision"": ""reduce training budget"", ""factor"": ""cost overruns last quarter"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""executive directive to cut opex 10%"", ""polarity"": ""supporting""}]",2,3,37,31-60
dset09_ai_ml_2d4f_13556182,ai_ml,"We decided to reduce training budget because executive directive to cut opex 10%, cost overruns last quarter, critical launch timelines at risk. We also chose to standardize on a single vector database due to migration risk for existing apps, simplify operations.","We reduced the training budget in response to an executive directive to cut opex by 10% and ongoing cost overruns from the previous quarter, despite concerns that critical launch timelines are now at risk. To minimize disruption, we also chose to standardize on a single vector database, mitigating migration risks for existing applications while simplifying operations.","[""reduce training budget"", ""standardize on a single vector database""]","[{""decision"": ""reduce training budget"", ""factor"": ""executive directive to cut opex 10%"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""cost overruns last quarter"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""critical launch timelines at risk"", ""polarity"": ""opposing""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""simplify operations"", ""polarity"": ""supporting""}]",2,3,41,31-60
dset09_ai_ml_3d1f_81756179,ai_ml,We decided to adopt transformer models because GPU capacity constraints. We also chose to pause model training to audit data quality due to label drift observed. We also chose to reduce training budget due to critical launch timelines at risk.,"We adopted transformer models due to GPU capacity constraints. Owing to observed label drift, we paused model training to audit data quality. Given that critical launch timelines were at risk, we also reduced the training budget.","[""adopt transformer models"", ""pause model training to audit data quality"", ""reduce training budget""]","[{""decision"": ""adopt transformer models"", ""factor"": ""GPU capacity constraints"", ""polarity"": ""opposing""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""label drift observed"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""critical launch timelines at risk"", ""polarity"": ""opposing""}]",3,1,40,31-60
dset09_ai_ml_3d2f_07507864,ai_ml,"We decided to deploy retrieval-augmented generation because hallucination reduction, index maintenance overhead. We also chose to standardize on a single vector database due to simplify operations, migration risk for existing apps. We also chose to adopt transformer models due to state-of-the-art accuracy on benchmarks, GPU capacity constraints.","We opted to deploy retrieval-augmented generation to reduce hallucinations, despite the added overhead of index maintenance. To streamline operations and mitigate migration risks for existing applications, we chose to standardize on a single vector database. Additionally, we selected transformer models for their state-of-the-art accuracy on benchmarks, even though GPU capacity constraints present a challenge.","[""deploy retrieval-augmented generation"", ""standardize on a single vector database"", ""adopt transformer models""]","[{""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""hallucination reduction"", ""polarity"": ""supporting""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""index maintenance overhead"", ""polarity"": ""opposing""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""simplify operations"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}, {""decision"": ""adopt transformer models"", ""factor"": ""state-of-the-art accuracy on benchmarks"", ""polarity"": ""supporting""}, {""decision"": ""adopt transformer models"", ""factor"": ""GPU capacity constraints"", ""polarity"": ""opposing""}]",3,2,51,31-60
