id,statement,ground_truth,category,notes
stmt_001,"The heavy rain caused widespread flooding in the city.",causal,explicit_causal,"Clear causal verb 'caused'"
stmt_002,"The sky was a brilliant blue on that summer day.",non_causal,descriptive,"Pure description, no causal content"
stmt_003,"Because the factory increased production, pollution levels rose.",causal,explicit_causal,"Explicit causal marker 'because'"
stmt_004,"As temperatures rose, ice cream sales increased.",correlational,temporal_correlation,"Temporal association, not explicit causation"
stmt_005,"The drought killed the crops.",causal,explicit_causal,"Causal verb 'killed'"
stmt_006,"The book was published in 1995.",non_causal,factual,"Factual statement, no causation"
stmt_007,"If you heat water to 100°C, it will boil.",causal,implicit_causal,"Conditional causation (if-then)"
stmt_008,"The meeting was scheduled for 3 PM.",non_causal,descriptive,"Scheduling information, no causation"
stmt_009,"The storm damaged the barn.",causal,explicit_causal,"Causal verb 'damaged'"
stmt_010,"Students who study more tend to get better grades.",correlational,statistical_association,"Statistical tendency, not direct causation"
stmt_011,"In order to reduce costs, the company laid off workers.",causal,implicit_causal,"Purpose expression 'in order to'"
stmt_012,"The library has over 50,000 books.",non_causal,factual,"Factual description, no causation"
stmt_013,"The medication resulted in significant improvement.",causal,explicit_causal,"Causal verb 'resulted in'"
stmt_014,"The concert started at 8 PM.",non_causal,temporal,"Time reference, no causation"
stmt_015,"Smoking leads to lung cancer.",causal,explicit_causal,"Causal verb 'leads to'"
stmt_016,"The cat sat on the windowsill.",non_causal,descriptive,"Action description, no causation"
stmt_017,"Due to the traffic jam, we arrived late.",causal,explicit_causal,"Causal marker 'due to'"
stmt_018,"The population of the city is 2 million.",non_causal,factual,"Statistical fact, no causation"
stmt_019,"The increased rainfall produced a bumper harvest.",causal,explicit_causal,"Causal verb 'produced'"
stmt_020,"People wearing red shirts were observed at the event.",correlational,observational,"Observation without causation"
stmt_021,"The earthquake triggered a tsunami.",causal,explicit_causal,"Causal verb 'triggered'"
stmt_022,"The museum displays ancient artifacts.",non_causal,descriptive,"Description of function, no causation"
stmt_023,"Since the road was blocked, traffic was diverted.",causal,explicit_causal,"Causal marker 'since'"
stmt_024,"The temperature was 25 degrees Celsius.",non_causal,factual,"Measurement, no causation"
stmt_025,"The new policy generated significant controversy.",causal,explicit_causal,"Causal verb 'generated'"
stmt_026,"The virus spread rapidly through the population.",causal,explicit_causal,"Causal verb 'spread'"
stmt_027,"The flowers bloomed in spring.",non_causal,descriptive,"Natural occurrence, no explicit causation"
stmt_028,"Higher education levels correlate with higher income.",correlational,statistical_association,"Correlation without proven causation"
stmt_029,"The explosion destroyed the building.",causal,explicit_causal,"Causal verb 'destroyed'"
stmt_030,"The train arrives at platform 3.",non_causal,factual,"Schedule information"
stmt_031,"To improve efficiency, the team adopted new software.",causal,implicit_causal,"Purpose statement with 'to'"
stmt_032,"The painting hangs in the gallery.",non_causal,descriptive,"Location description"
stmt_033,"Excessive drinking can lead to liver disease.",causal,explicit_causal,"Causal expression 'can lead to'"
stmt_034,"The stock market closed at 3,500 points.",non_causal,factual,"Market data"
stmt_035,"When it rains, people use umbrellas.",correlational,conditional_association,"Conditional association, not direct causation"
stmt_036,"The fire burned down the house.",causal,explicit_causal,"Causal verb 'burned down'"
stmt_037,"The movie was released last Friday.",non_causal,temporal,"Release date information"
stmt_038,"Exercise improves cardiovascular health.",causal,explicit_causal,"Causal verb 'improves'"
stmt_039,"The restaurant serves Italian food.",non_causal,descriptive,"Service description"
stmt_040,"Stress triggers headaches in many people.",causal,explicit_causal,"Causal verb 'triggers'"
stmt_041,"The conference will be held next month.",non_causal,temporal,"Future event scheduling"
stmt_042,"Lack of sleep affects concentration.",causal,explicit_causal,"Causal verb 'affects'"
stmt_043,"The river flows through the valley.",non_causal,descriptive,"Geographic description"
stmt_044,"Poor nutrition stunts growth in children.",causal,explicit_causal,"Causal verb 'stunts'"
stmt_045,"The store opens at 9 AM.",non_causal,temporal,"Operating hours"
stmt_046,"Inflation erodes purchasing power.",causal,explicit_causal,"Causal verb 'erodes'"
stmt_047,"The bird built a nest in the tree.",non_causal,descriptive,"Natural behavior description"
stmt_048,"Deforestation contributes to climate change.",causal,explicit_causal,"Causal verb 'contributes to'"
stmt_049,"The computer weighs 2.5 kilograms.",non_causal,factual,"Physical specification"
stmt_050,"Education enables social mobility.",causal,explicit_causal,"Causal verb 'enables'"
stmt_051,"The sun rises in the east.",non_causal,factual,"Natural phenomenon description"
stmt_052,"Pollution harms marine ecosystems.",causal,explicit_causal,"Causal verb 'harms'"
stmt_053,"The building has 20 floors.",non_causal,factual,"Structural information"
stmt_054,"Competition drives innovation.",causal,explicit_causal,"Causal verb 'drives'"
stmt_055,"The garden contains various flowers.",non_causal,descriptive,"Content description"
stmt_056,"Overfishing depletes fish populations.",causal,explicit_causal,"Causal verb 'depletes'"
stmt_057,"The meeting lasted two hours.",non_causal,temporal,"Duration information"
stmt_058,"Technology transforms communication.",causal,explicit_causal,"Causal verb 'transforms'"
stmt_059,"The lake is surrounded by mountains.",non_causal,descriptive,"Geographic description"
stmt_060,"Vaccination prevents disease outbreaks.",causal,explicit_causal,"Causal verb 'prevents'"
stmt_061,"The price increased by 15%.",non_causal,factual,"Price change data"
stmt_062,"Should you study harder, your grades will improve.",causal,implicit_causal,"Conditional causal statement"
stmt_063,"The dog barked loudly.",non_causal,descriptive,"Action description"
stmt_064,"In case of emergency, call 911.",causal,implicit_causal,"Conditional instruction"
stmt_065,"The museum is closed on Mondays.",non_causal,temporal,"Schedule information"
stmt_066,"So that we could arrive on time, we left early.",causal,implicit_causal,"Purpose clause with 'so that'"
stmt_067,"The ocean is deep and blue.",non_causal,descriptive,"Physical description"
stmt_068,"Provided that you pay the fee, you can register.",causal,implicit_causal,"Conditional causation"
stmt_069,"The clock shows 3:30 PM.",non_causal,temporal,"Time display"
stmt_070,"Unless you hurry, you will miss the bus.",causal,implicit_causal,"Negative conditional"
stmt_071,"The mountain peak is covered with snow.",non_causal,descriptive,"Natural state description"
stmt_072,"Assuming the weather is good, we will have a picnic.",causal,implicit_causal,"Conditional planning"
stmt_073,"The population grew by 5% last year.",non_causal,factual,"Demographic data"
stmt_074,"Given that prices are rising, consumers are spending less.",causal,implicit_causal,"Causal reasoning with 'given that'"
stmt_075,"The river is 200 miles long.",non_causal,factual,"Geographic measurement"
stmt_076,"Tall people are often good at basketball.",correlational,statistical_association,"Statistical tendency without causation"
stmt_077,"The festival occurs every summer.",non_causal,temporal,"Recurring event"
stmt_078,"Countries with more education have higher GDP.",correlational,statistical_association,"Correlation without proven causation"
stmt_079,"The airplane landed safely.",non_causal,descriptive,"Event description"
stmt_080,"Wealthy neighborhoods have lower crime rates.",correlational,statistical_association,"Correlation without causation"
stmt_081,"The book contains 300 pages.",non_causal,factual,"Physical specification"
stmt_082,"During recessions, unemployment typically rises.",correlational,temporal_correlation,"Economic correlation"
stmt_083,"The garden blooms in spring.",non_causal,temporal,"Seasonal occurrence"
stmt_084,"People who exercise regularly live longer.",correlational,statistical_association,"Health correlation"
stmt_085,"The store sells electronics.",non_causal,descriptive,"Business description"
stmt_086,"In winter, heating bills increase.",correlational,temporal_correlation,"Seasonal correlation"
stmt_087,"The bridge spans the river.",non_causal,descriptive,"Structural description"
stmt_088,"Older cars require more maintenance.",correlational,statistical_association,"Age-related correlation"
stmt_089,"The concert hall seats 2,000 people.",non_causal,factual,"Capacity information"
stmt_090,"Cities near the coast have milder climates.",correlational,geographic_association,"Geographic correlation"
stmt_091,"The team won the championship.",non_causal,factual,"Achievement statement"
stmt_092,"Students from wealthy families perform better academically.",correlational,statistical_association,"Socioeconomic correlation"
stmt_093,"The forest is home to many species.",non_causal,descriptive,"Habitat description"
stmt_094,"Night shift workers often have sleep problems.",correlational,statistical_association,"Occupational correlation"
stmt_095,"The company employs 500 people.",non_causal,factual,"Employment data"
