id,text,has_figurative_language,figurative_type,difficulty,instance_count,category,subcategory,pattern,notes,dataset_name,dataset_category
1,The cat is as big as a house.,True,simile,easy,1,,,,,easy,original
2,She sings like an angel.,True,simile,easy,1,,,,,easy,original
3,He is the apple of my eye.,True,metaphor,easy,1,,,,,easy,original
4,The wind whispered secrets.,True,personification,easy,1,,,,,easy,original
5,You are my sunshine.,True,metaphor,easy,1,,,,,easy,original
6,The world is your oyster.,True,metaphor,easy,1,,,,,easy,original
7,He is a diamond in the rough.,True,metaphor,easy,1,,,,,easy,original
8,She is a ray of sunshine.,True,metaphor,easy,1,,,,,easy,original
9,The stars are diamonds in the sky.,True,metaphor,easy,1,,,,,easy,original
10,You are the salt of the earth.,True,metaphor,easy,1,,,,,easy,original
11,Time is a thief.,True,personification,easy,1,,,,,easy,original
12,Her eyes were pools of blue.,True,metaphor,easy,1,,,,,easy,original
13,Life is a journey.,True,metaphor,easy,1,,,,,easy,original
14,His heart is made of stone.,True,metaphor,easy,1,,,,,easy,original
15,The classroom was a zoo.,True,metaphor,easy,1,,,,,easy,original
16,She has a heart of gold.,True,metaphor,easy,1,,,,,easy,original
17,The news hit him like a truck.,True,simile,easy,1,,,,,easy,original
18,Ideas were bubbling in her mind.,True,metaphor,easy,1,,,,,easy,original
19,The computer died in the middle of my work.,True,personification,easy,1,,,,,easy,original
20,Their words were daggers to my heart.,True,metaphor,easy,1,,,,,easy,original
21,The autumn leaves danced in the wind.,True,personification,easy,1,,,,,easy,original
22,Success is a ladder that cannot be climbed with your hands in your pockets.,True,metaphor,easy,1,,,,,easy,original
23,The stars winked at us from the night sky.,True,personification,easy,1,,,,,easy,original
24,Her laughter is music to my ears.,True,metaphor,easy,1,,,,,easy,original
25,The city sleeps under a blanket of fog.,True,personification,easy,1,,,,,easy,original
26,He swims like a fish.,True,simile,easy,1,,,,,easy,original
27,Knowledge is a treasure that follows its owner everywhere.,True,metaphor,easy,1,,,,,easy,original
28,The moon smiled down on the peaceful town.,True,personification,easy,1,,,,,easy,original
29,Fear is a beast that feeds on your insecurities.,True,metaphor,easy,1,,,,,easy,original
30,The flowers nodded their heads in the gentle breeze.,True,personification,easy,1,,,,,easy,original
1,The economy is a roller coaster of unpredictable highs and lows.,True,metaphor,medium,1,,,,,medium,original
2,Her argument was as fragile as a house of cards.,True,simile,medium,1,,,,,medium,original
3,The shadow of doubt crept into his mind.,True,personification,medium,1,,,,,medium,original
4,Democracy is a delicate flower that requires constant nurturing.,True,metaphor,medium,1,,,,,medium,original
5,The painting tells the story of a forgotten era.,True,personification,medium,1,,,,,medium,original
6,The professor's lecture was a meandering river with no clear destination.,True,metaphor,medium,1,,,,,medium,original
7,The old building stood like a sentinel watching over the city.,True,simile,medium,1,,,,,medium,original
8,Anxiety feeds on uncertainty and grows stronger in silence.,True,personification,medium,1,,,,,medium,original
9,The legal system is a labyrinth of complex procedures and obscure rules.,True,metaphor,medium,1,,,,,medium,original
10,The algorithm hunts through data looking for patterns to exploit.,True,personification,medium,1,,,,,medium,original
11,His career has been a marathon rather than a sprint.,True,metaphor,medium,1,,,,,medium,original
12,The forest breathed a sigh of relief as the rain finally arrived.,True,personification,medium,1,,,,,medium,original
13,The theory collapsed under the weight of new evidence.,True,metaphor,medium,1,,,,,medium,original
14,The camera captures memories and preserves them in digital amber.,True,metaphor,medium,1,,,,,medium,original
15,The deadline loomed over her like a storm cloud ready to burst.,True,simile,medium,1,,,,,medium,original
16,The book sits on the shelf collecting dust and forgotten promises.,True,personification,medium,1,,,,,medium,original
17,The statistics paint a troubling picture of economic inequality.,True,metaphor,medium,1,,,,,medium,original
18,The melody danced between major and minor keys throughout the piece.,True,personification,medium,1,,,,,medium,original
19,The bridge between their cultures was built with mutual understanding.,True,metaphor,medium,1,,,,,medium,original
20,The code runs through the system like blood through veins.,True,simile,medium,1,,,,,medium,original
21,The old traditions are fading echoes in the halls of modernity.,True,metaphor,medium,1,,,,,medium,original
22,The market digested the news of the merger with surprising calm.,True,personification,medium,1,,,,,medium,original
23,Her influence in the organization is a slowly spreading ripple.,True,metaphor,medium,1,,,,,medium,original
24,The abandoned house whispered stories of its former inhabitants.,True,personification,medium,1,,,,,medium,original
25,The research paper was a tapestry of interwoven ideas and evidence.,True,metaphor,medium,1,,,,,medium,original
26,The social media platform harvests user data with algorithmic precision.,True,personification,medium,1,,,,,medium,original
27,The policy was a shield designed to protect vulnerable communities.,True,metaphor,medium,1,,,,,medium,original
28,The mountains stood like ancient guardians of the valley below.,True,simile,medium,1,,,,,medium,original
29,The historical narrative weaves together disparate events into a cohesive story.,True,metaphor,medium,1,,,,,medium,original
30,The city devours resources and spits out pollution in return.,True,personification,medium,1,,,,,medium,original
1,The algorithm is a black box whose inner workings remain inscrutable even to its creators.,True,metaphor,hard,1,,,,,hard,original
2,The new policy is a Trojan horse designed to introduce controversial changes under the guise of reform.,True,metaphor,hard,1,,,,,hard,original
3,The critic's words cut deeper than Occam's razor through the pretensions of the author's work.,True,simile,hard,1,,,,,hard,original
4,The stock market's invisible hand guides capital with the capricious nature of a child arranging toys.,True,personification,hard,1,,,,,hard,original
5,Her argument was a house of cards built on the shifting sands of incomplete research.,True,extended metaphor,hard,1,,,,,hard,original
6,The bureaucracy is a labyrinth designed by Kafka and maintained by Sisyphus.,True,metaphor,hard,1,,,,,hard,original
7,The company's growth strategy is a Ponzi scheme of promises that will eventually collapse under its own weight.,True,metaphor,hard,1,,,,,hard,original
8,The political discourse has become an echo chamber where ideas bounce around but never evolve.,True,metaphor,hard,1,,,,,hard,original
9,The internet remembers everything with the unforgiving precision of an elephant nursing ancient grudges.,True,personification,hard,1,,,,,hard,original
10,The data points dance across the graph like stars forming constellations of meaning only experts can interpret.,True,simile,hard,1,,,,,hard,original
11,"The philosophical concept hangs in intellectual space like Schrödinger's cat, simultaneously alive and dead until observed.",True,simile,hard,1,,,,,hard,original
12,The economy is a patient with multiple chronic conditions being treated by doctors with competing theories of medicine.,True,metaphor,hard,1,,,,,hard,original
13,The social media platform harvests attention like a farmer who has discovered that anxiety and outrage are the most profitable crops.,True,simile,hard,1,,,,,hard,original
14,"The academic paper was a palimpsest of ideas, with traces of earlier theories visible beneath the author's new contributions.",True,metaphor,hard,1,,,,,hard,original
15,The corporation is a modern Leviathan that consumes resources and excretes externalities with mechanical indifference.,True,metaphor,hard,1,,,,,hard,original
16,The historical narrative is a tapestry where some threads are deliberately made more visible than others.,True,metaphor,hard,1,,,,,hard,original
17,"The legal precedent hangs over the case like Damocles' sword, threatening to fall at any moment.",True,simile,hard,1,,,,,hard,original
18,The technology disrupts industries with the casual violence of a meteor strike altering an ecosystem.,True,simile,hard,1,,,,,hard,original
19,"The cultural zeitgeist shifts like tectonic plates, with long periods of stability punctuated by sudden, transformative movements.",True,simile,hard,1,,,,,hard,original
20,The algorithm feeds on data with the indiscriminate hunger of a starving artist at an all-you-can-eat buffet.,True,simile,hard,1,,,,,hard,original
21,"The city's architecture is a conversation between generations, with each era responding to and reinterpreting what came before.",True,personification,hard,1,,,,,hard,original
22,"The scientific theory waits patiently at the edge of acceptance, knowing that paradigms shift one funeral at a time.",True,personification,hard,1,,,,,hard,original
23,The poem's meaning evaporates upon close reading like morning dew under scrutiny's harsh sun.,True,simile,hard,1,,,,,hard,original
24,The financial system is a Rube Goldberg machine designed by mathematicians and operated by gamblers.,True,metaphor,hard,1,,,,,hard,original
25,The political campaign was a chess game where the pawns believed they were choosing the moves.,True,metaphor,hard,1,,,,,hard,original
26,The software interface is a mask that smiles reassuringly while concealing the chaos of code beneath.,True,metaphor,hard,1,,,,,hard,original
27,The academic discipline guards its boundaries like a medieval city-state suspicious of intellectual barbarians.,True,personification,hard,1,,,,,hard,original
28,"The novel's structure is a matryoshka doll of narratives, each containing and contextualizing the next.",True,metaphor,hard,1,,,,,hard,original
