text_id,domain,text,decisions_json,factors_json
dset09_climate_change_1d1f_88447167,climate_change,We decided to expand renewable energy subsidies despite the fiscal budget pressures.,"[""expand renewable energy subsidies""]","[{""decision"": ""expand renewable energy subsidies"", ""factor"": ""fiscal budget pressures"", ""polarity"": ""opposing""}]"
dset09_climate_change_1d2f_97854904,climate_change,"We decided to implement carbon pricing to internalize emission externalities, despite the impact on low-income households.","[""implement carbon pricing""]","[{""decision"": ""implement carbon pricing"", ""factor"": ""internalize emission externalities"", ""polarity"": ""supporting""}, {""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}]"
dset09_climate_change_1d3f_14665841,climate_change,"We decided to phase out coal plants because of the air quality and health benefits, despite the grid reliability concerns.","[""phase out coal plants""]","[{""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}]"
dset09_climate_change_1d4f_56623995,climate_change,"We decided to phase out coal plants despite the grid reliability concerns, because of the air quality and health benefits.","[""phase out coal plants""]","[{""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}]"
dset09_climate_change_2d1f_59476001,climate_change,We decided to invest in climate adaptation infrastructure because of the increasing flood risk. We also chose to implement carbon pricing despite the impact on low-income households.,"[""invest in climate adaptation infrastructure"", ""implement carbon pricing""]","[{""decision"": ""invest in climate adaptation infrastructure"", ""factor"": ""increasing flood risk"", ""polarity"": ""supporting""}, {""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}]"
dset09_climate_change_2d2f_22321899,climate_change,"We decided to expand renewable energy subsidies to accelerate clean energy adoption, despite the fiscal budget pressures. We also chose to phase out coal plants despite the grid reliability concerns, because of the air quality and health benefits.","[""expand renewable energy subsidies"", ""phase out coal plants""]","[{""decision"": ""expand renewable energy subsidies"", ""factor"": ""fiscal budget pressures"", ""polarity"": ""opposing""}, {""decision"": ""expand renewable energy subsidies"", ""factor"": ""accelerate clean energy adoption"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}]"
dset09_climate_change_2d3f_22097220,climate_change,"We decided to phase out coal plants because of the air quality and health benefits, despite the grid reliability concerns. We also chose to implement carbon pricing despite the impact on low-income households, in order to internalize emission externalities.","[""phase out coal plants"", ""implement carbon pricing""]","[{""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}, {""decision"": ""implement carbon pricing"", ""factor"": ""internalize emission externalities"", ""polarity"": ""supporting""}]"
dset09_climate_change_2d4f_38285503,climate_change,"We decided to launch national reforestation program because of the carbon sequestration potential. We also chose to phase out coal plants because of the air quality and health benefits, despite the grid reliability concerns.","[""launch national reforestation program"", ""phase out coal plants""]","[{""decision"": ""launch national reforestation program"", ""factor"": ""carbon sequestration potential"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}]"
dset09_climate_change_3d1f_77736262,climate_change,We decided to expand renewable energy subsidies to accelerate clean energy adoption. We also chose to phase out coal plants despite the grid reliability concerns. We also chose to implement carbon pricing despite the impact on low-income households.,"[""expand renewable energy subsidies"", ""phase out coal plants"", ""implement carbon pricing""]","[{""decision"": ""expand renewable energy subsidies"", ""factor"": ""accelerate clean energy adoption"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}]"
dset09_climate_change_3d2f_78406989,climate_change,"We decided to invest in climate adaptation infrastructure because of the increasing flood risk. We also chose to expand renewable energy subsidies to accelerate clean energy adoption, despite the fiscal budget pressures. We also chose to phase out coal plants despite the grid reliability concerns, because of the air quality and health benefits.","[""invest in climate adaptation infrastructure"", ""expand renewable energy subsidies"", ""phase out coal plants""]","[{""decision"": ""invest in climate adaptation infrastructure"", ""factor"": ""increasing flood risk"", ""polarity"": ""supporting""}, {""decision"": ""expand renewable energy subsidies"", ""factor"": ""fiscal budget pressures"", ""polarity"": ""opposing""}, {""decision"": ""expand renewable energy subsidies"", ""factor"": ""accelerate clean energy adoption"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}]"
