text_id,domain,text,decisions_json,factors_json
dset09_ai_ml_1d1f_29958838,ai_ml,We decided to standardize on a single vector database because migration risk for existing apps.,"[""standardize on a single vector database""]","[{""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}]"
dset09_ai_ml_1d2f_04265799,ai_ml,"We decided to pause model training to audit data quality because label drift observed, milestone deadlines approaching.","[""pause model training to audit data quality""]","[{""decision"": ""pause model training to audit data quality"", ""factor"": ""label drift observed"", ""polarity"": ""supporting""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""milestone deadlines approaching"", ""polarity"": ""opposing""}]"
dset09_ai_ml_1d3f_75329037,ai_ml,"We decided to reduce training budget because critical launch timelines at risk, cost overruns last quarter, executive directive to cut opex 10%.","[""reduce training budget""]","[{""decision"": ""reduce training budget"", ""factor"": ""critical launch timelines at risk"", ""polarity"": ""opposing""}, {""decision"": ""reduce training budget"", ""factor"": ""cost overruns last quarter"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""executive directive to cut opex 10%"", ""polarity"": ""supporting""}]"
dset09_ai_ml_1d4f_00872248,ai_ml,"We decided to deploy retrieval-augmented generation because hallucination reduction, index maintenance overhead.","[""deploy retrieval-augmented generation""]","[{""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""hallucination reduction"", ""polarity"": ""supporting""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""index maintenance overhead"", ""polarity"": ""opposing""}]"
dset09_ai_ml_2d1f_50992979,ai_ml,We decided to adopt transformer models because availability of pretrained checkpoints. We also chose to deploy retrieval-augmented generation due to index maintenance overhead.,"[""adopt transformer models"", ""deploy retrieval-augmented generation""]","[{""decision"": ""adopt transformer models"", ""factor"": ""availability of pretrained checkpoints"", ""polarity"": ""supporting""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""index maintenance overhead"", ""polarity"": ""opposing""}]"
dset09_ai_ml_2d2f_71971316,ai_ml,"We decided to pause model training to audit data quality because milestone deadlines approaching, label drift observed. We also chose to standardize on a single vector database due to simplify operations, migration risk for existing apps.","[""pause model training to audit data quality"", ""standardize on a single vector database""]","[{""decision"": ""pause model training to audit data quality"", ""factor"": ""milestone deadlines approaching"", ""polarity"": ""opposing""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""label drift observed"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""simplify operations"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}]"
dset09_ai_ml_2d3f_94566031,ai_ml,"We decided to deploy retrieval-augmented generation because hallucination reduction, index maintenance overhead. We also chose to reduce training budget due to critical launch timelines at risk, cost overruns last quarter, executive directive to cut opex 10%.","[""deploy retrieval-augmented generation"", ""reduce training budget""]","[{""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""hallucination reduction"", ""polarity"": ""supporting""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""index maintenance overhead"", ""polarity"": ""opposing""}, {""decision"": ""reduce training budget"", ""factor"": ""critical launch timelines at risk"", ""polarity"": ""opposing""}, {""decision"": ""reduce training budget"", ""factor"": ""cost overruns last quarter"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""executive directive to cut opex 10%"", ""polarity"": ""supporting""}]"
dset09_ai_ml_2d4f_13556182,ai_ml,"We decided to reduce training budget because executive directive to cut opex 10%, cost overruns last quarter, critical launch timelines at risk. We also chose to standardize on a single vector database due to migration risk for existing apps, simplify operations.","[""reduce training budget"", ""standardize on a single vector database""]","[{""decision"": ""reduce training budget"", ""factor"": ""executive directive to cut opex 10%"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""cost overruns last quarter"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""critical launch timelines at risk"", ""polarity"": ""opposing""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""simplify operations"", ""polarity"": ""supporting""}]"
dset09_ai_ml_3d1f_81756179,ai_ml,We decided to adopt transformer models because GPU capacity constraints. We also chose to pause model training to audit data quality due to label drift observed. We also chose to reduce training budget due to critical launch timelines at risk.,"[""adopt transformer models"", ""pause model training to audit data quality"", ""reduce training budget""]","[{""decision"": ""adopt transformer models"", ""factor"": ""GPU capacity constraints"", ""polarity"": ""opposing""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""label drift observed"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""critical launch timelines at risk"", ""polarity"": ""opposing""}]"
dset09_ai_ml_3d2f_07507864,ai_ml,"We decided to deploy retrieval-augmented generation because hallucination reduction, index maintenance overhead. We also chose to standardize on a single vector database due to simplify operations, migration risk for existing apps. We also chose to adopt transformer models due to state-of-the-art accuracy on benchmarks, GPU capacity constraints.","[""deploy retrieval-augmented generation"", ""standardize on a single vector database"", ""adopt transformer models""]","[{""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""hallucination reduction"", ""polarity"": ""supporting""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""index maintenance overhead"", ""polarity"": ""opposing""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""simplify operations"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}, {""decision"": ""adopt transformer models"", ""factor"": ""state-of-the-art accuracy on benchmarks"", ""polarity"": ""supporting""}, {""decision"": ""adopt transformer models"", ""factor"": ""GPU capacity constraints"", ""polarity"": ""opposing""}]"
