global_segment_id,statement,Lisa Causal (Y/N),Marie Y/N,Marie&Lisa Agreement,Final Y/N Solution,Type,Lisa Justification,Marie Notes,Agreement AI & Human,AI y/n,AI_  is_causal,AI_explanation,Andrew Y/N,Andrew Notes
519,Funding helps heating companies provide more reliable heat,Yes,Yes,TRUE,Yes,"g) Types of causatives: Lexical, Morphological, Periphrastic","Implicit, shows relationship",Lexical help,TRUE,Yes,TRUE,"The statement indicates that funding (cause) directly contributes to or enables heating companies to provide more reliable heat (effect), showing a clear causal relationship.",,
1718,Creating renewable resources closer to the town results in lower costs,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,The statement indicates a clear causal relationship where creating renewable resources closer to the town (cause) directly leads to lower costs (effect). The phrase 'results in' is a strong indicator of causation.,,
473,Interviewing Abeesee residents leads to a better understanding of the problem,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement indicates that interviewing Abeesee residents (the cause) directly leads to a better understanding of the problem (the effect), showing a clear causal relationship.",,
386,The village's remote location makes it difficult to keep heat sustainable,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Implicit, shows relationship", ,TRUE,Yes,TRUE,"The statement indicates that the cause (the village's remote location) directly leads to the effect (difficulty in keeping heat sustainable), showing a clear causal relationship.",,
2127,The culture of the residents affects factors in Abeesee,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Implicit, shows relationship", ,TRUE,Yes,TRUE,"The statement uses the verb 'affects', which indicates a causal relationship where the culture of the residents influences factors in Abeesee.",,
352,The person would gather the people of Abeesee,No,No,TRUE,No,,"Statement, No cause/effect relationship",Statement of fact ,TRUE,No,FALSE,The statement describes an action (gathering) but does not indicate a causal relationship between any events or states.,,
1808,Hiring unemployed individuals causes HVAC companies to have more work,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,"The statement uses a direct causal verb 'causes', indicating that hiring unemployed individuals directly leads to HVAC companies having more work.",,
1572,Burning fossil fuels harms the environment,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,"The statement indicates that burning fossil fuels (the cause) directly leads to harming the environment (the effect), showing a clear causal relationship.",,
1707,Reporting statistics leads to informing officials,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement uses 'leads to', indicating that reporting statistics directly results in informing officials, which establishes a clear causal relationship.",,
133,People associated with helping those needing financial assistance spread awareness about the situation in Abeesee,No,No,TRUE,No,,"Implicit, shows relationship",Statement of fact ,TRUE,No,FALSE,The statement indicates an association or correlation between people helping those needing financial assistance and spreading awareness but does not imply a direct causal relationship.,,
1588,Political leaders exist,No,No,TRUE,No,,"Statement, No cause/effect relationship",Statement of fact ,TRUE,No,FALSE,"The statement is a simple assertion without any indication of causation or influence between events, actions, or states.",,
162,Understanding the reasons for high heating costs leads to making heating more affordable,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement indicates that understanding the reasons (cause) directly leads to or influences making heating more affordable (effect), showing a clear causal relationship.",,
981,High fossil fuel prices cause many residents to be unable to afford heat,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,The statement clearly indicates a direct causal relationship where high fossil fuel prices (the cause) lead to many residents being unable to afford heat (the effect).,,
1501,Abeesee's presence in America would lead residents to look towards the Red Cross,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement uses 'would lead', indicating that Abeesee's presence (cause) directly influences residents' actions towards looking towards the Red Cross (effect)",,
266,Knowing the type of housing in Abeesee determines if central heating is an option,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Implicit, shows relationship", ,TRUE,Yes,TRUE,"The statement indicates that knowing the type of housing (cause) directly determines whether central heating is an option (effect), showing a clear causal relationship.",,
842,Politicians can help raise awareness about the community's struggles,No,No,TRUE,No,,"Statement, No cause/effect relationship",Possible solution ,FALSE,Yes,TRUE,"The statement implies that politicians have the ability to influence or cause an increase in awareness about community struggles, indicating a causal relationship.",,
681,The problems in the case scenario cause issues,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct cause *however, it is vague", ,TRUE,Yes,TRUE,"The statement uses 'cause' directly, indicating that the problems in the case scenario lead to issues, which is a clear causal relationship.",,
2161,I spread awareness about the villagers' issues,No,No,TRUE,No,,"Statement, No cause/effect relationship",Statement of fact ,TRUE,No,FALSE,The statement describes an action (spreading awareness) but does not indicate a direct causal effect on any outcome or state change.,,
1966,The text suggests examining expenses incurred by Abeesee's residents,No,No,TRUE,No,,"Statement, No cause/effect relationship",Information needed ,TRUE,No,FALSE,The statement is descriptive and does not indicate any causal relationship between examining expenses and any resulting effect.,,
817,High heating costs cause citizens of Abeesee to use alternative cheaper heating methods,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,The statement clearly indicates a causal relationship where high heating costs (the cause) directly lead to citizens using alternative cheaper heating methods (the effect).,,
1037,The number of families varies with the number of households in the town,No,No,TRUE,No,n) Correlation vs. Causation: Be cautious not to confuse correlation with causation,Correlation, ,TRUE,No,FALSE,The statement indicates a correlation or association between the number of families and the number of households but does not imply any direct causal relationship.,,
928,The statement does not contain specific relationships or actions that can be simplified into clear statements.,No,No,TRUE,No,,"Statement, No cause/effect relationship",Not a segment ,TRUE,No,FALSE,The given text is a meta-statement about the absence of specific relationships or actions and does not express any causal relationship.,,
1352,A heating and insulation business is involved in planning a response to Abeesee's problems,No,No,TRUE,No,,"Statement, No cause/effect relationship",Identifies actors ,TRUE,No,FALSE,The statement describes involvement in planning but does not indicate a direct causal relationship between the business's actions and Abeesee's problems.,,
155,Remote location affects heating prices,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X is related to Y", ,TRUE,Yes,TRUE,"The statement implies that the remote location has an influence on heating prices, suggesting a causal relationship where the location affects pricing.",,
2106,The text indicates a lack of information about the current status of home heating systems,No,No,TRUE,No,,"Statement, No cause/effect relationship",Possible cause ,TRUE,No,FALSE,The statement describes a situation or state without indicating any cause-effect relationship.,,
1248,Fossil fuels are necessary for the population of Abeesee to live,No,No,TRUE,No,,"Implict, X is related to Y",Possible cause ,#N/A,Yes,TRUE,"The statement implies a necessity relationship where fossil fuels (cause) enable or allow the population of Abeesee to live (effect), suggesting a causal link.",,
1367,Non-governmental organizations work with villages like Abeesee,No,No,TRUE,No,,"Statement, No cause/effect relationship",Statement of fact ,TRUE,No,FALSE,The statement describes an action (working) without indicating a direct cause and effect relationship between NGOs and villages like Abeesee.,,
313,Inability to afford rising fossil fuel prices causes Villafe of Abeesee to be at risk of health problems,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,The statement clearly indicates a causal relationship where the inability to afford rising fossil fuel prices (cause) directly leads to Villafe of Abeesee being at risk of health problems (effect).,,
1126,The university collaborates with nonprofits to install heating systems in Abeesee,No,No,TRUE,No,,"Statement, No cause/effect relationship",Possible solution ,TRUE,No,FALSE,The statement describes a collaborative action but does not indicate that one event directly leads to or influences another in a causal manner.,,
1232,Information about insulation in typical town homes is required,No,No,TRUE,No,,"Statement, No cause/effect relationship",Information needed ,TRUE,No,FALSE,The statement does not indicate any cause and effect relationship; it merely states a requirement for information about insulation in typical town homes.,,
1506,Inserting fireplaces in people's homes leads to an increase in their electric bills,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X is related to Y", ,TRUE,Yes,TRUE,"The statement uses a direct causal verb 'leads to', indicating that inserting fireplaces (the cause) directly results in an increase in electric bills (the effect).",,
236,Abeesee has the problem of improper heating in homes,No,No,TRUE,No,,"Statement, No cause/effect relationship",Possible cause ,TRUE,No,FALSE,The statement describes a property or condition (improper heating) that Abeesee has but does not indicate any cause-effect relationship.,,
1064,Information about remote Abeesee determines the costs of installing a fuel pipeline,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Implicit, X is related to Y", ,TRUE,Yes,TRUE,"The statement uses the verb 'determines', which indicates that information about remote Abeesee directly influences or sets the costs of installing a fuel pipeline, establishing a clear causal relationship.",,
1548,Creating alternative heating initiatives leads to increased economic revenue in the town,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement uses a direct causal verb 'leads to', indicating that creating alternative heating initiatives directly results in increased economic revenue in the town.",,
1195,Understanding the material of houses helps determine if heating sources cause deaths due to house structure,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Implicit, X is related to Y", ,TRUE,Yes,TRUE,"The statement implies that understanding the material of houses can help determine if heating sources cause deaths due to house structure, suggesting a causal relationship between heating sources and potential deaths, mediated by the house structure.",,
949,A 5 paragraph Operations Order format is used to organize the solution,No,No,TRUE,No,,"Statement, No cause/effect relationship",Not a segment ,TRUE,No,FALSE,The statement describes a format (5 paragraph Operations Order) that is used for organizing information but does not indicate any direct causal relationship where one event or action leads to another.,,
425,The fuel industry is involved with stakeholders,No,No,TRUE,No,,"Statement, No cause/effect relationship",Identifies actors ,TRUE,No,FALSE,The statement describes involvement between the fuel industry and stakeholders but does not indicate any direct causal relationship or influence.,,
2229,Villagers belong to the regional leadership,No,No,TRUE,No,,"Statement, No cause/effect relationship",Identifies actors ,TRUE,No,FALSE,The statement indicates category membership or affiliation rather than a causal relationship.,,
2026,High heating costs lead to people using improper heating methods,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement uses a direct causal verb 'lead to', indicating that high heating costs (the cause) directly influence people using improper heating methods (the effect).",,
630,Abeesee starts a charity to expose issues in Abeesee,Yes,Yes,TRUE,Yes,"f) Causal reasoning: expressions of purpose (to, in order to), statements of intention (intend to, aim to)","Implicit, X is related to Y",(in order to expose) ,TRUE,Yes,TRUE,"The statement implies that starting a charity (the cause) is intended to expose issues in Abeesee (the effect), suggesting a purposeful causal relationship.",,
249,Heating is perceived as too expensive,No,No,TRUE,No,,"Statement, No cause/effect relationship",Possible cause ,TRUE,No,FALSE,The statement describes a perception about heating costs but does not indicate any causal relationship between events or states.,,
1309,Knowing alternatives to getting heat can lead to finding ways around using fossil fuels,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement indicates that knowing alternatives (cause) can lead to finding ways around using fossil fuels (effect), showing a clear causal relationship.",,
1458,The inability to afford proper heating causes deaths in Abeesee,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,The statement clearly indicates a direct causal relationship where the inability to afford proper heating (cause) leads to deaths (effect).,,
1465,Gathering information about the cost of heating units and their accessibility is needed in Abeesee,No,No,TRUE,No,,"Implicit, X is related to Y",Information needed ,TRUE,No,FALSE,The statement describes a need for information gathering but does not indicate any causal relationship between events or actions.,,
538,Rises in the cost of heating cause the village people to suffer,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,"The statement uses a direct causal verb 'cause', indicating that an increase in heating costs directly leads to suffering among village people.",,
565,The inability to pay for expensive fossil fuels causes the villagers of Abeesee to face death,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,The statement clearly indicates a direct causal relationship where the inability to pay for expensive fossil fuels (cause) leads to the villagers of Abeesee facing death (effect).,,
956,The cost of heat has varied over time in Abeesee,No,No,TRUE,No,,"Statement, No cause/effect relationship; a factor",Possible cause ,TRUE,No,FALSE,The statement describes a variation in the cost of heat over time but does not indicate any cause leading to this effect. It is purely descriptive and lacks causal indicators.,,
1261,Talking to foreign policy leaders helps form an understanding of the situation in Abeesee,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Implicit, X is related to Y", ,TRUE,Yes,TRUE,"The statement indicates that talking to foreign policy leaders (the cause) helps form an understanding of the situation in Abeesee (the effect), implying a direct causal relationship.",,
1987,Understanding the lack of resources in the town leads to seeking help from authorities,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,The statement indicates a clear causal relationship where understanding the lack of resources (cause) directly leads to seeking help from authorities (effect).,,
117,Heating is too expensive for the Village of Abeesee,No,No,TRUE,No,,"Yes, Implicit, relationship between X and Y (cost and heating)",Possible cause ,TRUE,No,FALSE,The statement describes a condition (heating is too expensive) but does not indicate any causal relationship where one event or action leads to another.,,
2070,A sustainable energy group is involved in planning,No,No,TRUE,No,,"Statement, No cause/effect relationship; a factor",Identifies actors ,TRUE,No,FALSE,The statement describes involvement of a sustainable energy group in planning but does not indicate any cause and effect relationship.,,
2102,The high cost of fossil fuels causes casualties in the village,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,"The statement uses a direct causal verb 'causes', indicating that the high cost of fossil fuels directly leads to casualties in the village.",,
1939,The town provides relief in the short term,No,No,TRUE,No,,"Statement, No cause/effect relationship; a factor",Possible solution ,#N/A,Yes,TRUE,"The statement implies that the action of the town providing relief directly leads to a short-term effect, suggesting a causal relationship.",,
