global_segment_id,statement,Lisa Causal (Y/N),Marie Y/N,Marie&Lisa Agreement,Final Y/N Solution,Type,Lisa Justification,Marie Notes,Agreement AI & Human,AI y/n,AI_  is_causal,AI_explanation,Andrew Y/N,Andrew Notes
535,Assessing access to renewable resources will determine if cost-effective alternative energy sources can be used in Abeesee,Yes,No,,Yes,n) Correlation vs. Causation: Be cautious not to confuse correlation with causation,"Implicit, X leads to Y",A determines B ,True,Yes,True,"The statement indicates that assessing access to renewable resources (the cause) will determine if cost-effective alternative energy sources can be used (the effect), implying a direct causal relationship.",Yes,"might be an unhelpful statement, but does sound like a happening leads to b happening (where b is just that determination)"
949,A 5 paragraph Operations Order format is used to organize the solution,No,No,True,No,,"Statement, No cause/effect relationship",Not a segment ,True,No,False,The statement describes a format (5 paragraph Operations Order) that is used for organizing information but does not indicate any direct causal relationship where one event or action leads to another.,,
390,Knowing more about the town and surrounding areas allows response planners to find other heat sources,No,Yes,,Yes,"g) Types of causatives: Lexical, Morphological, Periphrastic",Correlation,Lexical allows,True,Yes,True,"The statement indicates that knowing more about the town and surrounding areas (the cause) directly enables or allows response planners to find other heat sources (the effect), implying a clear causal relationship.",Yes,allows; possibly periphrastic enabling condition
1968,Abeesee offers jobs,No,No,True,No,,"Statement, No cause/effect relationship",Possible solution ,True,No,False,The statement 'Abeesee offers jobs' describes a situation where Abeesee provides job opportunities but does not indicate any causal relationship between actions or events.,,
736,Donating money to non-profit organizations helps the public understand the hardships of the village,Yes,Yes,True,Yes,"g) Types of causatives: Lexical, Morphological, Periphrastic","Direct, X leads to Y",Lexical help,True,Yes,True,"The statement indicates that donating money (cause) leads to a better public understanding of village hardships (effect), implying a direct causal relationship.",,
1456,"Raising money leads to providing access to a shared, heated public space",Yes,Yes,True,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,True,Yes,True,"The statement uses 'leads to', indicating that raising money directly results in providing access to a shared, heated public space.",,
1565,The speaker wants to contact the leaders of Abeesee,No,No,True,No,,"Statement, No cause/effect relationship",Identifies actors ,True,No,False,The statement expresses a desire or intention but does not indicate any causal relationship between events or actions.,,
2084,The government collaborates with power plant companies on funding,No,No,True,No,,"Statement, No cause/effect relationship",Possible solution ,True,No,False,The statement describes a collaborative action but does not indicate that one event directly leads to or influences another in a causal manner.,,
1577,Stakeholders help power the world,No,No,True,No,,"Statement, No cause/effect relationship",Identifies actors ,True,No,False,The statement does not indicate a clear causal relationship but rather suggests a supportive or contributory role without implying direct causation.,,
738,The village's remote location causes people in Abeesee to be unable to have heat during winter,Yes,Yes,True,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,True,Yes,True,The statement uses a direct causal verb 'causes' indicating that the remote location of the village directly leads to people in Abeesee not having heat during winter.,,
1878,Finding funding leads to providing safe heat in Abessee,Yes,Yes,True,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,True,Yes,True,"The statement uses a direct causal verb 'leads to', indicating that finding funding directly results in providing safe heat in Abessee.",,
1276,Heating companies increase prices,No,No,True,No,,"Statement, No cause/effect relationship",Possible cause ,True,No,False,The statement describes an action (increasing prices) by heating companies but does not indicate any cause or effect relationship.,,
1961,Abeesee's expenses result in an inability to stay warm during cold months,Yes,Yes,True,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,True,Yes,True,"The statement uses 'result in', indicating that Abeesee's expenses directly lead to an inability to stay warm during cold months, which is a clear causal relationship.",,
1044,The speaker informs the town about their active efforts,No,No,True,No,,"Statement, No cause/effect relationship",Identifies actors ,True,No,False,The statement describes an action (informing) but does not indicate that this action leads to or influences another event or state. There is no clear causal relationship expressed.,,
399,Demographics of Abeesee are needed,No,No,True,No,,"Statement, No cause/effect relationship",Information needed ,True,No,False,The statement does not express any causal relationship; it merely indicates a need for information about demographics without implying that one event or state causes another.,,
734,Collecting propane tanks helps people in the village,Yes,No,,No,,"Direct, X leads to Y",Possible solution ,,Yes,True,"The statement indicates that the action of collecting propane tanks directly leads to a beneficial outcome for people in the village, suggesting a clear causal relationship.",No,unclear what the effect would be
419,Environmental protection measures may cause an increase in fossil fuel costs,Yes,Yes,True,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,True,Yes,True,"The statement uses 'may cause', indicating a potential direct causal relationship where environmental protection measures lead to an increase in fossil fuel costs.",,
1898,Rising costs of fossil fuels cause residents of Abeesse to be unable to afford heat for their homes,Yes,Yes,True,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,True,Yes,True,The statement clearly indicates a causal relationship where rising costs of fossil fuels (the cause) directly lead to residents of Abeesse being unable to afford heat for their homes (the effect).,,
1832,Abeesee people dying is associated with not having heat,No,Yes,,No,m) Implicit causality: Verbs carrying implicit causal information,"Implicit, relationship OR correlation",Meaning vs semantic,True,No,False,"The statement indicates an association or correlation between Abeesee people dying and not having heat, but does not imply a direct causal relationship.",No,we know it's probably causal but if it's implied causation then it's heavily implied
998,Fossil fuels being expensive causes heat to be expensive,Yes,Yes,True,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,True,Yes,True,The statement uses a direct causal verb 'causes' indicating that the high cost of fossil fuels directly leads to or influences the high cost of heat.,,
216,The government aims to use tax money to lower heating costs,Yes,No,,Yes,,"Direct, X leads to Y",Possible solution ,True,Yes,True,The statement indicates a clear causal relationship where the government's use of tax money (cause) is intended to lower heating costs (effect). The phrase 'to lower' suggests purpose and direct influence.,Yes,"explicit marker (""aims to"" as synonym for ""in order to"") or causal reasoning (type f)"
