id,text,has_figurative_language,figurative_type,difficulty,instance_count,category,subcategory,pattern,notes,dataset_name,dataset_category
25,"The old professor was a living library. His mind contained volumes of knowledge, carefully cataloged and accessible through the simple act of asking a question.",True,metaphor,medium,1,,,,,multi-sentence,original
26,He swims like a fish.,True,simile,easy,1,,,,,easy,original
neg_152,The geological survey identified deposits of copper and zinc.,False,,medium,1,factual_statement,,,Survey finding,negative,phase1
neg_121,The judge considered the evidence before making a ruling.,False,,medium,1,literal_description,,,Legal process,negative,phase1
neg_099,The morphological features include agglutinative affixation and vowel harmony.,False,,hard,1,technical_language,,,Linguistics description,negative,phase1
neg_013,He typed the email and clicked send.,False,,easy,1,literal_description,,,Computer action,negative,phase1
15,"Depression is an unwelcome houseguest. It arrives without warning, makes itself at home, and refuses to leave no matter how unwelcome it becomes.",True,metaphor,hard,1,,,,,multi-sentence,original
multi_029,"The ocean roared its displeasure, the waves crashed angrily, and the wind howled in protest.",True,personification,medium,3,,,same_type,"Roared, crashed angrily, howled - all personification",multiple-instances,phase1
30,"The pandemic moved through society like a dye injected into the bloodstream, revealing previously invisible connections.",True,simile,hard,1,,,,,hard,original
multi_075,"The ocean is a vast library, each wave is a page, and every tide tells a story.",True,metaphor,hard,3,,,same_type,"Library, page, story - book metaphors",multiple-instances,phase1
sci_003,Electrons orbit the nucleus like planets around the sun.,True,simile,easy,1,,pedagogical_simile,,Solar system analogy for atomic structure,scientific,phase1
3,The shadow of doubt crept into his mind.,True,personification,medium,1,,,,,medium,original
1,The economy is a roller coaster of unpredictable highs and lows.,True,metaphor,medium,1,,,,,medium,original
6,The garden had been neglected for years. Weeds had declared victory and now ruled over their conquered territory with thorny authority.,True,personification,medium,1,,,,,multi-sentence,original
neg_094,The sociological analysis employs a structural-functionalist perspective.,False,,hard,1,technical_language,,,Social theory,negative,phase1
neg_109,"The garden contains roses, tulips, and daisies.",False,,easy,1,literal_description,,,Plant inventory,negative,phase1
sci_088,Encryption scrambles data to protect it from unauthorized access.,True,personification,medium,1,,technical_personification,,Scrambling metaphor for cryptography,scientific,phase1
28,The moon smiled down on the peaceful town.,True,personification,easy,1,,,,,easy,original
multi_045,"The team is firing on all cylinders, running like a well-oiled machine, and performing at peak efficiency.",True,mixed,medium,3,,,different_types,"Metaphor (firing on cylinders), simile (like machine), metaphor (peak)",multiple-instances,phase1
neg_074,The legislation passed with bipartisan support.,False,,medium,1,factual_statement,,,Political process,negative,phase1
multi_093,"The system is broken, fractured like shattered glass, and beyond repair.",True,mixed,medium,3,,,different_types,"Metaphor (broken), simile (fractured like glass), hyperbole (beyond repair)",multiple-instances,phase1
biz_100,The business landscape is changing rapidly.,True,metaphor,easy,1,,nature_metaphor,,Landscape metaphor,business,phase1
neg_096,The phenomenological method involves bracketing presuppositions to examine lived experience.,False,,hard,1,technical_language,,,Philosophy methodology,negative,phase1
sci_030,Spacetime is a fabric that can be warped by massive objects.,True,metaphor,medium,1,,model_metaphor,,Fabric metaphor for spacetime,scientific,phase1
multi_074,"The innovation is revolutionary, groundbreaking as the wheel, and transformative in its impact.",True,mixed,medium,3,,,different_types,"Metaphor (revolutionary), simile (groundbreaking as wheel), metaphor (transformative)",multiple-instances,phase1
neg_155,The forecast predicts temperatures between 70 and 80 degrees.,False,,medium,1,factual_statement,,,Weather prediction,negative,phase1
7,He is a diamond in the rough.,True,metaphor,easy,1,,,,,easy,original
neg_034,The protein consists of 250 amino acids arranged in a specific sequence.,False,,medium,1,technical_language,,,Biochemistry,negative,phase1
multi_090,"The crisis is a crucible, testing our resolve, and forging us into something stronger.",True,metaphor,hard,3,,,same_type,"Crucible, testing, forging - metallurgy metaphors",multiple-instances,phase1
biz_019,The market is saturated and we need to find a new niche.,True,metaphor,medium,1,,business_metaphor,,Saturation metaphor,business,phase1
multi_091,"The culture is a tapestry, woven from many threads, and rich in its diversity.",True,metaphor,medium,3,,,same_type,"Tapestry, woven, threads - textile metaphors",multiple-instances,phase1
neg_030,He walked up the stairs to the second floor.,False,,easy,1,literal_description,,,Movement description,negative,phase1
neg_091,The jurisprudential debate centers on the tension between legal positivism and natural law theory.,False,,hard,1,technical_language,,,Legal philosophy,negative,phase1
biz_015,We need to level the playing field with our competitors.,True,metaphor,medium,1,,sports_metaphor,,Sports fairness metaphor,business,phase1
multi_094,"The movement is a tidal wave, unstoppable in its momentum, and sweeping everything before it.",True,metaphor,medium,3,,,same_type,"Tidal wave, unstoppable, sweeping - water metaphors",multiple-instances,phase1
5,The company's stock plummeted overnight. Investors watched in horror as years of growth evaporated into thin air.,True,personification,medium,1,,,,,multi-sentence,original
biz_060,We need to fine-tune our approach to customer service.,True,metaphor,easy,1,,mechanical_metaphor,,Tuning metaphor,business,phase1
10,"The old house creaked and groaned in the wind. It was telling stories of generations past, whispering secrets only it remembered.",True,personification,medium,1,,,,,multi-sentence,original
biz_038,The company is launching an offensive to capture new markets.,True,metaphor,medium,1,,war_metaphor,,Military offensive,business,phase1
biz_023,We need to think outside the box to solve this problem.,True,metaphor,easy,1,,business_metaphor,,Box metaphor for conventional thinking,business,phase1
neg_141,The policy requires employees to submit expense reports within 30 days.,False,,medium,1,factual_statement,,,Company policy,negative,phase1
15,The deadline loomed over her like a storm cloud ready to burst.,True,simile,medium,1,,,,,medium,original
sci_041,Tectonic plates float on the mantle like rafts on water.,True,simile,easy,1,,pedagogical_simile,,Raft analogy for plate tectonics,scientific,phase1
multi_020,"The garden was paradise, the flowers were jewels, and the fragrance was perfume from heaven.",True,metaphor,medium,3,,,same_type,"Paradise, jewels, perfume metaphors",multiple-instances,phase1
8,"The new apartment building contains 24 units of varying sizes. Each apartment features modern appliances and energy-efficient windows. The monthly rent includes water, trash service, and access to community amenities. A security system monitors all entrances and common areas throughout the day. The location provides convenient access to public transportation and local shopping centers.",False,none,medium,1,,,,,long-text,original
biz_058,The new policy threw a wrench in our plans.,True,metaphor,medium,1,,mechanical_metaphor,,Wrench in machinery,business,phase1
21,"The city's architecture is a conversation between generations, with each era responding to and reinterpreting what came before.",True,personification,hard,1,,,,,hard,original
multi_036,"The sunset painted the sky with fire, splashed orange across the clouds, and gilded the horizon.",True,personification,medium,3,,,same_type,"Painted, splashed, gilded - all personification",multiple-instances,phase1
neg_171,The mirror reflected her image clearly.,False,,easy,1,literal_description,,,Optical property,negative,phase1
biz_041,We need to rally the troops for the upcoming product launch.,True,metaphor,medium,1,,war_metaphor,,Military rally metaphor,business,phase1
neg_067,She saved the document before closing the application.,False,,medium,1,literal_description,,,Computer procedure,negative,phase1
12,The economy is a patient with multiple chronic conditions being treated by doctors with competing theories of medicine.,True,metaphor,hard,1,,,,,hard,original
17,The statistics paint a troubling picture of economic inequality.,True,metaphor,medium,1,,,,,medium,original
neg_104,"The construction project required 500 tons of steel and 2,000 cubic yards of concrete.",False,,medium,1,factual_statement,,,Construction materials,negative,phase1
neg_167,The timer beeped after 30 minutes.,False,,easy,1,literal_description,,,Time notification,negative,phase1
22,"The scientific theory waits patiently at the edge of acceptance, knowing that paradigms shift one funeral at a time.",True,personification,hard,1,,,,,hard,original
multi_085,"The organization is a pyramid, hierarchical in structure, and rigid in its operations.",True,metaphor,medium,3,,,same_type,"Pyramid, hierarchical, rigid - structure metaphors",multiple-instances,phase1
14,"The negotiation was a delicate dance. Both parties circled each other cautiously, neither willing to make the first significant move until they understood their partner's rhythm.",True,metaphor,medium,1,,,,,multi-sentence,original
multi_064,"The storm was a monster, fierce as a lion, and destructive beyond measure.",True,mixed,medium,3,,,different_types,"Metaphor (monster), simile (fierce as lion), hyperbole (beyond measure)",multiple-instances,phase1
multi_070,"The code is spaghetti, tangled as a ball of yarn, and impossible to debug.",True,mixed,medium,3,,,different_types,"Metaphor (spaghetti), simile (tangled as yarn), hyperbole (impossible)",multiple-instances,phase1
sci_035,Electrons jump between energy levels in atoms.,True,personification,easy,1,,technical_personification,,Jumping as movement metaphor,scientific,phase1
biz_044,The executive team is strategizing for the next quarter.,True,metaphor,easy,1,,war_metaphor,,Military strategy,business,phase1
neg_037,The telescope has a focal length of 1000mm and an aperture of 200mm.,False,,medium,1,technical_language,,,Optical specification,negative,phase1
biz_050,The project is dead in the water without additional funding.,True,metaphor,medium,1,,nautical_metaphor,,Becalmed ship metaphor,business,phase1
biz_034,The company is under siege from aggressive competitors.,True,metaphor,hard,1,,war_metaphor,,Siege warfare metaphor,business,phase1
neg_085,The epistemological framework distinguishes between a priori and a posteriori knowledge.,False,,hard,1,technical_language,,,Philosophy,negative,phase1
neg_144,The guidelines recommend a minimum of 150 minutes of exercise per week.,False,,medium,1,factual_statement,,,Health recommendation,negative,phase1
14,"The academic paper was a palimpsest of ideas, with traces of earlier theories visible beneath the author's new contributions.",True,metaphor,hard,1,,,,,hard,original
neg_046,The network operates on the 802.11ac wireless standard.,False,,medium,1,technical_language,,,Networking protocol,negative,phase1
multi_017,"The computer died, the printer refused to work, and the phone decided to take a vacation.",True,personification,medium,3,,,same_type,"Died, refused, decided - all personification",multiple-instances,phase1
multi_097,"The ecosystem is a delicate balance, fragile as spun glass, and easily disrupted.",True,mixed,medium,3,,,different_types,"Metaphor (balance), simile (fragile as glass), personification (disrupted)",multiple-instances,phase1
neg_038,"The soil sample contained 15% clay, 40% silt, and 45% sand.",False,,medium,1,technical_language,,,Geological analysis,negative,phase1
sci_044,Erosion sculpts the landscape over millions of years.,True,personification,medium,1,,technical_personification,,Sculpting as artistic action,scientific,phase1
biz_059,The team is firing on all cylinders this quarter.,True,metaphor,medium,1,,mechanical_metaphor,,Engine metaphor,business,phase1
neg_147,The criteria include a minimum GPA of 3.5 and two letters of recommendation.,False,,medium,1,factual_statement,,,Admission requirements,negative,phase1
neg_095,The cryptographic protocol ensures confidentiality through asymmetric encryption.,False,,hard,1,technical_language,,,Computer security,negative,phase1
biz_003,The company is bleeding cash and needs to stop the hemorrhaging immediately.,True,metaphor,medium,1,,business_metaphor,,Medical metaphor for financial loss,business,phase1
28,The mountains stood like ancient guardians of the valley below.,True,simile,medium,1,,,,,medium,original
neg_105,The athlete completed the marathon in 3 hours and 45 minutes.,False,,medium,1,factual_statement,,,Performance time,negative,phase1
multi_089,"The brand is a beacon, shining brightly, and guiding customers to our products.",True,metaphor,medium,3,,,same_type,"Beacon, shining, guiding - light metaphors",multiple-instances,phase1
neg_194,The product launch exceeded sales projections by 10%.,False,,medium,1,factual_statement,,,Sales performance,negative,phase1
biz_081,The company is reaping what it sowed with poor customer service.,True,metaphor,hard,1,,agricultural_metaphor,,Reaping/sowing metaphor,business,phase1
neg_145,"The standard requires testing at intervals of 1,000 hours.",False,,medium,1,factual_statement,,,Quality control,negative,phase1
8,The political discourse has become an echo chamber where ideas bounce around but never evolve.,True,metaphor,hard,1,,,,,hard,original
neg_087,The archaeological evidence suggests continuous occupation from the Neolithic period.,False,,hard,1,technical_language,,,Historical analysis,negative,phase1
neg_193,The campaign increased brand awareness by 25%.,False,,medium,1,factual_statement,,,Marketing result,negative,phase1
neg_088,The neurological examination revealed decreased proprioception in the lower extremities.,False,,hard,1,technical_language,,,Medical diagnosis,negative,phase1
sci_082,Computer memory is organized like a filing cabinet with addresses.,True,simile,easy,1,,pedagogical_simile,,Filing cabinet analogy for memory,scientific,phase1
biz_076,We're planting seeds for future growth.,True,metaphor,medium,1,,agricultural_metaphor,,Planting metaphor,business,phase1
sci_040,Entropy is nature's tendency toward disorder.,True,personification,medium,1,,technical_personification,,Tendency as intentional direction,scientific,phase1
neg_017,He turned on the light switch.,False,,easy,1,literal_description,,,Simple action,negative,phase1
neg_142,The regulation limits emissions to 50 parts per million.,False,,medium,1,factual_statement,,,Environmental standard,negative,phase1
multi_095,"The discovery is a key, unlocking mysteries, and opening doors to new understanding.",True,metaphor,medium,3,,,same_type,"Key, unlocking, opening - access metaphors",multiple-instances,phase1
neg_123,The mechanic replaced the brake pads and rotated the tires.,False,,medium,1,literal_description,,,Maintenance work,negative,phase1
neg_140,The researcher collected samples from ten different locations.,False,,medium,1,literal_description,,,Field work,negative,phase1
sci_009,DNA unzips during replication.,True,personification,easy,1,,technical_personification,,Zipper metaphor for DNA separation,scientific,phase1
biz_079,The market is fertile ground for our new product.,True,metaphor,medium,1,,agricultural_metaphor,,Fertile ground metaphor,business,phase1
multi_051,"The stock market is a roller coaster, climbing to dizzying heights and plunging to terrifying lows.",True,metaphor,medium,2,,,same_type,Roller coaster metaphor extended,multiple-instances,phase1
multi_025,"His mind was a steel trap, sharp as a razor, and quick as lightning.",True,mixed,medium,3,,,different_types,"Metaphor (steel trap), simile (sharp as razor, quick as lightning)",multiple-instances,phase1
