id,statement,ground_truth,category,notes
stmt_001,"The heavy rain caused widespread flooding in the city.",causal,explicit_causal,"Clear causal verb 'caused'"
stmt_002,"The sky was a brilliant blue on that summer day.",non_causal,descriptive,"Pure description, no causal content"
stmt_003,"Because the factory increased production, pollution levels rose.",causal,explicit_causal,"Explicit causal marker 'because'"
stmt_004,"As temperatures rose, ice cream sales increased.",correlational,temporal_correlation,"Temporal association, not explicit causation"
stmt_005,"The drought killed the crops.",causal,explicit_causal,"Causal verb 'killed'"
stmt_006,"The book was published in 1995.",non_causal,factual,"Factual statement, no causation"
stmt_007,"If you heat water to 100°C, it will boil.",causal,implicit_causal,"Conditional causation (if-then)"
stmt_008,"The meeting was scheduled for 3 PM.",non_causal,descriptive,"Scheduling information, no causation"
stmt_009,"The storm damaged the barn.",causal,explicit_causal,"Causal verb 'damaged'"
stmt_010,"Students who study more tend to get better grades.",correlational,statistical_association,"Statistical tendency, not direct causation"
stmt_011,"In order to reduce costs, the company laid off workers.",causal,implicit_causal,"Purpose expression 'in order to'"
stmt_012,"The library has over 50,000 books.",non_causal,factual,"Factual description, no causation"
stmt_013,"The medication resulted in significant improvement.",causal,explicit_causal,"Causal verb 'resulted in'"
stmt_014,"The concert started at 8 PM.",non_causal,temporal,"Time reference, no causation"
stmt_015,"Smoking leads to lung cancer.",causal,explicit_causal,"Causal verb 'leads to'"
stmt_016,"The cat sat on the windowsill.",non_causal,descriptive,"Action description, no causation"
stmt_017,"Due to the traffic jam, we arrived late.",causal,explicit_causal,"Causal marker 'due to'"
stmt_018,"The population of the city is 2 million.",non_causal,factual,"Statistical fact, no causation"
stmt_019,"The increased rainfall produced a bumper harvest.",causal,explicit_causal,"Causal verb 'produced'"
stmt_020,"People wearing red shirts were observed at the event.",correlational,observational,"Observation without causation"
stmt_021,"The earthquake triggered a tsunami.",causal,explicit_causal,"Causal verb 'triggered'"
stmt_022,"The museum displays ancient artifacts.",non_causal,descriptive,"Description of function, no causation"
stmt_023,"Since the road was blocked, traffic was diverted.",causal,explicit_causal,"Causal marker 'since'"
stmt_024,"The temperature was 25 degrees Celsius.",non_causal,factual,"Measurement, no causation"
stmt_025,"The new policy generated significant controversy.",causal,explicit_causal,"Causal verb 'generated'"
